,County Name/State Abbreviation,FIPS_y,TargetValue
173,"Benton, MO",29015,0.0
174,"Benton, MS",28009,0.0
175,"Benton, OR",41003,5.0
176,"Benton, TN",47005,1.0
177,"Benton, WA",53005,59.0
178,"Benzie, MI",26019,0.0
179,"Bergen, NJ",34003,1525.0
180,"Berkeley, SC",45015,15.0
181,"Berkeley, WV",54003,6.0
182,"Berks, PA",42011,296.0
183,"Berkshire, MA",25003,38.0
184,"Bernalillo, NM",35001,68.0
185,"Berrien, GA",13019,0.0
186,"Berrien, MI",26021,42.0
187,"Bertie, NC",37015,3.0
188,"Bexar, TX",48029,66.0
189,"Bibb, AL",01007,1.0
190,"Bibb, GA",13021,24.0
191,"Big Horn, MT",30003,0.0
192,"Big Horn, WY",56003,0.0
193,"Big Stone, MN",27011,0.0
194,"Billings, ND",38007,0.0
195,"Bingham, ID",16011,0.0
196,"Black Hawk, IA",19013,39.0
197,"Blackford, IN",18009,1.0
198,"Bladen, NC",37017,2.0
199,"Blaine, ID",16013,5.0
200,"Blaine, MT",30005,0.0
201,"Blaine, NE",31009,0.0
202,"Blaine, OK",40011,0.0
203,"Blair, PA",42013,1.0
204,"Blanco, TX",48031,0.0
205,"Bland, VA",51021,0.0
206,"Bleckley, GA",13023,0.0
207,"Bledsoe, TN",47007,1.0
208,"Blount, AL",01009,1.0
209,"Blount, TN",47009,3.0
210,"Blue Earth, MN",27013,1.0
211,"Boise, ID",16015,0.0
212,"Bolivar, MS",28011,11.0
213,"Bollinger, MO",29017,0.0
214,"Bon Homme, SD",46009,0.0
215,"Bond, IL",17005,1.0
216,"Bonner, ID",16017,0.0
217,"Bonneville, ID",16019,0.0
218,"Boone, AR",05009,0.0
219,"Boone, IA",19015,0.0
220,"Boone, IL",17007,16.0
221,"Boone, IN",18011,35.0
222,"Boone, KY",21015,11.0
223,"Boone, MO",29019,1.0
224,"Boone, NE",31011,0.0
225,"Boone, WV",54005,0.0
226,"Borden, TX",48033,0.0
227,"Bosque, TX",48035,0.0
228,"Botetourt, VA",51023,4.0
229,"Bottineau, ND",38009,0.0
230,"Boulder, CO",08013,61.0
231,"Boundary, ID",16021,0.0
232,"Bourbon, KS",20011,1.0
233,"Bourbon, KY",21017,1.0
234,"Bowie, TX",48037,11.0
235,"Bowman, ND",38011,0.0
236,"Box Butte, NE",31013,0.0
237,"Box Elder, UT",49003,0.0
238,"Boyd, KY",21019,3.0
239,"Boyd, NE",31015,0.0
240,"Boyle, KY",21021,0.0
241,"Bracken, KY",21023,0.0
242,"Bradford, FL",12007,2.0
243,"Bradford, PA",42015,3.0
244,"Bradley, AR",05011,1.0
245,"Bradley, TN",47011,1.0
246,"Branch, MI",26023,2.0
247,"Brantley, GA",13025,2.0
248,"Braxton, WV",54007,0.0
249,"Brazoria, TX",48039,12.0
250,"Brazos, TX",48041,19.0
251,"Breathitt, KY",21025,0.0
252,"Breckinridge, KY",21027,2.0
253,"Bremer, IA",19017,6.0
254,"Brevard, FL",12009,12.0
255,"Brewster, TX",48043,0.0
256,"Briscoe, TX",48045,0.0
257,"Bristol, MA",25005,375.0
258,"Bristol, RI",44001,0.0
259,"Broadwater, MT",30007,0.0
260,"Bronx, NY",36005,0.0
261,"Brooke, WV",54009,0.0
262,"Brookings, SD",46011,0.0
263,"Brooks, GA",13027,9.0
264,"Brooks, TX",48047,0.0
265,"Broome, NY",36007,44.0
266,"Broward, FL",12011,298.0
267,"Brown, IL",17009,0.0
268,"Brown, IN",18013,1.0
269,"Brown, KS",20013,0.0
270,"Brown, MN",27015,2.0
271,"Brown, NE",31017,0.0
272,"Brown, OH",39015,1.0
273,"Brown, SD",46013,0.0
274,"Brown, TX",48049,8.0
275,"Brown, WI",55009,32.0
276,"Brule, SD",46015,0.0
277,"Brunswick, NC",37019,2.0
278,"Brunswick, VA",51025,1.0
279,"Bryan, GA",13029,5.0
280,"Bryan, OK",40013,1.0
281,"Buchanan, IA",19019,0.0
282,"Buchanan, MO",29021,2.0
283,"Buchanan, VA",51027,0.0
284,"Buckingham, VA",51029,3.0
285,"Bucks, PA",42017,461.0
286,"Buena Vista, IA",19021,0.0
287,"Buffalo, NE",31019,1.0
288,"Buffalo, SD",46017,0.0
289,"Buffalo, WI",55011,1.0
290,"Bullitt, KY",21029,4.0
291,"Bulloch, GA",13031,2.0
292,"Bullock, AL",01011,3.0
293,"Buncombe, NC",37021,15.0
294,"Bureau, IL",17011,1.0
295,"Burke, GA",13033,4.0
296,"Burke, NC",37023,14.0
297,"Burke, ND",38013,0.0
298,"Burleigh, ND",38015,0.0
299,"Burleson, TX",48051,0.0
300,"Burlington, NJ",34005,271.0
301,"Burnet, TX",48053,0.0
302,"Burnett, WI",55013,1.0
303,"Burt, NE",31021,0.0
304,"Butler, AL",01013,12.0
305,"Butler, IA",19023,0.0
306,"Butler, KS",20015,0.0
307,"Butler, KY",21031,6.0
308,"Butler, MO",29023,0.0
309,"Butler, NE",31023,0.0
310,"Butler, OH",39017,25.0
311,"Butler, PA",42019,12.0
312,"Butte, CA",06007,0.0
313,"Butte, ID",16023,0.0
314,"Butte, SD",46019,0.0
315,"Butts, GA",13035,21.0
316,"Cabarrus, NC",37025,22.0
317,"Cabell, WV",54011,0.0
318,"Cache, UT",49005,0.0
319,"Caddo, OK",40015,10.0
320,"Calaveras, CA",06009,0.0
321,"Caldwell, KY",21033,0.0
322,"Caldwell, MO",29025,0.0
323,"Caldwell, NC",37027,2.0
324,"Caldwell, TX",48055,0.0
325,"Caledonia, VT",50005,0.0
326,"Calhoun, AL",01015,3.0
327,"Calhoun, AR",05013,0.0
328,"Calhoun, FL",12013,3.0
329,"Calhoun, GA",13037,5.0
330,"Calhoun, IA",19025,0.0
331,"Calhoun, IL",17013,0.0
332,"Calhoun, MI",26025,21.0
333,"Calhoun, MS",28013,4.0
334,"Calhoun, SC",45017,1.0
335,"Calhoun, TX",48057,3.0
336,"Calhoun, WV",54013,0.0
337,"Callahan, TX",48059,1.0
338,"Callaway, MO",29027,1.0
339,"Calloway, KY",21035,1.0
340,"Calumet, WI",55015,1.0
341,"Calvert, MD",24009,16.0
342,"Camas, ID",16025,0.0
343,"Cambria, PA",42021,2.0
344,"Camden, GA",13039,1.0
345,"Camden, MO",29029,1.0
346,"Camden, NC",37029,0.0
347,"Camden, NJ",34007,308.0
348,"Cameron, PA",42023,0.0
349,"Cameron, TX",48061,33.0
350,"Camp, TX",48063,0.0
351,"Campbell, KY",21037,11.0
352,"Campbell, SD",46021,0.0
353,"Campbell, TN",47013,1.0
354,"Campbell, VA",51031,1.0
355,"Campbell, WY",56005,0.0
356,"Canadian, OK",40017,3.0
357,"Candler, GA",13043,0.0
358,"Cannon, TN",47015,0.0
359,"Canyon, ID",16027,6.0
360,"Cape Girardeau, MO",29031,2.0
361,"Cape May, NJ",34009,48.0
362,"Carbon, MT",30009,0.0
363,"Carbon, PA",42025,22.0
364,"Carbon, UT",49007,0.0
365,"Carbon, WY",56007,0.0
366,"Caribou, ID",16029,0.0
367,"Carlisle, KY",21039,1.0
368,"Carlton, MN",27017,0.0
369,"Caroline, MD",24011,0.0
370,"Caroline, VA",51033,2.0
371,"Carroll, AR",05015,0.0
372,"Carroll, GA",13045,24.0
373,"Carroll, IA",19027,0.0
374,"Carroll, IL",17015,2.0
375,"Carroll, IN",18015,2.0
376,"Carroll, KY",21041,0.0
377,"Carroll, MD",24013,79.0
378,"Carroll, MO",29033,0.0
379,"Carroll, MS",28015,10.0
380,"Carroll, NH",33003,0.0
381,"Carroll, OH",39019,2.0
382,"Carroll, TN",47017,1.0
383,"Carroll, VA",51035,1.0
384,"Carson City, NV",32510,4.0
385,"Carson, TX",48065,0.0
386,"Carter, KY",21043,0.0
387,"Carter, MO",29035,1.0
388,"Carter, MT",30011,0.0
389,"Carter, OK",40019,1.0
390,"Carter, TN",47019,1.0
391,"Carteret, NC",37031,9.0
392,"Carver, MN",27019,2.0
393,"Cascade, MT",30013,2.0
394,"Casey, KY",21045,0.0
395,"Cass, IA",19029,0.0
396,"Cass, IL",17017,0.0
397,"Cass, IN",18017,6.0
398,"Cass, MI",26027,2.0
399,"Cass, MN",27021,2.0
400,"Cass, MO",29037,8.0
401,"Cass, ND",38017,37.0
402,"Cass, NE",31025,0.0
403,"Cass, TX",48067,0.0
404,"Cassia, ID",16031,1.0
405,"Castro, TX",48069,1.0
406,"Caswell, NC",37033,1.0
407,"Catawba, NC",37035,3.0
408,"Catoosa, GA",13047,0.0
409,"Catron, NM",35003,1.0
410,"Cattaraugus, NY",36009,0.0
411,"Cavalier, ND",38019,0.0
412,"Cayuga, NY",36011,1.0
413,"Cecil, MD",24015,21.0
414,"Cedar, IA",19031,1.0
415,"Cedar, MO",29039,0.0
416,"Cedar, NE",31027,0.0
417,"Centre, PA",42027,6.0
418,"Cerro Gordo, IA",19033,1.0
419,"Chaffee, CO",08015,19.0
420,"Chambers, AL",01017,24.0
421,"Chambers, TX",48071,0.0
422,"Champaign, IL",17019,7.0
423,"Champaign, OH",39021,1.0
424,"Chariton, MO",29041,0.0
425,"Charles City, VA",51036,1.0
426,"Charles Mix, SD",46023,0.0
427,"Charles, MD",24017,69.0
428,"Charleston, SC",45019,11.0
429,"Charlevoix, MI",26029,1.0
430,"Charlotte, FL",12015,56.0
431,"Charlotte, VA",51037,0.0
432,"Charlton, GA",13049,1.0
433,"Chase, KS",20017,0.0
434,"Chase, NE",31029,0.0
435,"Chatham, GA",13051,21.0
436,"Chatham, NC",37037,26.0
437,"Chattahoochee, GA",13053,0.0
438,"Chattooga, GA",13055,2.0
439,"Chautauqua, KS",20019,0.0
440,"Chautauqua, NY",36013,4.0
441,"Chaves, NM",35005,2.0
442,"Cheatham, TN",47021,0.0
443,"Cheboygan, MI",26031,1.0
444,"Chelan, WA",53007,6.0
445,"Chemung, NY",36015,1.0
446,"Chenango, NY",36017,0.0
447,"Cherokee, AL",01019,2.0
448,"Cherokee, GA",13057,29.0
449,"Cherokee, IA",19035,0.0
450,"Cherokee, KS",20021,0.0
451,"Cherokee, NC",37039,1.0
452,"Cherokee, OK",40021,1.0
453,"Cherokee, SC",45021,2.0
454,"Cherokee, TX",48073,2.0
455,"Cherry, NE",31031,0.0
456,"Cheshire, NH",33005,2.0
457,"Chester, PA",42029,251.0
458,"Chester, SC",45023,0.0
459,"Chester, TN",47023,0.0
460,"Chesterfield, SC",45025,3.0
461,"Chesterfield, VA",51041,30.0
462,"Cheyenne, CO",08017,0.0
463,"Cheyenne, KS",20023,0.0
464,"Cheyenne, NE",31033,0.0
465,"Chickasaw, IA",19037,0.0
466,"Chickasaw, MS",28017,12.0
467,"Chicot, AR",05017,0.0
468,"Childress, TX",48075,0.0
469,"Chilton, AL",01021,1.0
470,"Chippewa, MI",26033,0.0
471,"Chippewa, MN",27023,0.0
472,"Chippewa, WI",55017,0.0
473,"Chisago, MN",27025,1.0
474,"Chittenden, VT",50007,38.0
475,"Choctaw, AL",01023,4.0
476,"Choctaw, MS",28019,2.0
477,"Choctaw, OK",40023,0.0
478,"Chouteau, MT",30015,0.0
479,"Chowan, NC",37041,0.0
480,"Christian, IL",17021,4.0
481,"Christian, KY",21047,3.0
482,"Christian, MO",29043,0.0
483,"Churchill, NV",32001,1.0
484,"Cibola, NM",35006,4.0
485,"Cimarron, OK",40025,0.0
486,"Citrus, FL",12017,12.0
487,"Clackamas, OR",41005,10.0
488,"Claiborne, MS",28021,2.0
489,"Claiborne, TN",47025,0.0
490,"Clallam, WA",53009,0.0
491,"Clare, MI",26035,2.0
492,"Clarendon, SC",45027,38.0
493,"Clarion, PA",42031,2.0
494,"Clark, AR",05019,0.0
495,"Clark, ID",16033,0.0
496,"Clark, IL",17023,0.0
497,"Clark, IN",18019,38.0
498,"Clark, KS",20025,1.0
499,"Clark, KY",21049,0.0
500,"Clark, MO",29045,0.0
501,"Clark, NV",32003,329.0
502,"Clark, OH",39023,6.0
503,"Clark, SD",46025,0.0
504,"Clark, WA",53011,22.0
505,"Clark, WI",55019,4.0
506,"Clarke, AL",01025,2.0
507,"Clarke, GA",13059,13.0
508,"Clarke, IA",19039,0.0
509,"Clarke, MS",28023,16.0
510,"Clarke, VA",51043,0.0
511,"Clatsop, OR",41007,0.0
512,"Clay, AL",01027,2.0
513,"Clay, AR",05021,0.0
514,"Clay, FL",12019,27.0
515,"Clay, GA",13061,2.0
516,"Clay, IA",19041,0.0
517,"Clay, IL",17025,0.0
518,"Clay, IN",18021,1.0
519,"Clay, KS",20027,1.0
520,"Clay, KY",21051,0.0
521,"Clay, MN",27027,24.0
522,"Clay, MO",29047,2.0
523,"Clay, MS",28025,3.0
524,"Clay, NC",37043,0.0
525,"Clay, NE",31035,0.0
526,"Clay, SD",46027,0.0
527,"Clay, TN",47027,0.0
528,"Clay, TX",48077,0.0
529,"Clay, WV",54015,0.0
530,"Clayton, GA",13063,43.0
531,"Clayton, IA",19043,3.0
532,"Clear Creek, CO",08019,1.0
533,"Clearfield, PA",42033,0.0
534,"Clearwater, ID",16035,0.0
535,"Clearwater, MN",27029,0.0
536,"Cleburne, AL",01029,1.0
537,"Cleburne, AR",05023,4.0
538,"Clermont, OH",39025,5.0
539,"Cleveland, AR",05025,0.0
540,"Cleveland, NC",37045,2.0
541,"Cleveland, OK",40027,37.0
542,"Clinch, GA",13065,1.0
543,"Clinton, IA",19045,1.0
544,"Clinton, IL",17027,16.0
545,"Clinton, IN",18023,1.0
546,"Clinton, KY",21053,0.0
547,"Clinton, MI",26037,10.0
548,"Clinton, MO",29049,0.0
549,"Clinton, NY",36019,4.0
550,"Clinton, OH",39027,0.0
551,"Clinton, PA",42035,1.0
552,"Cloud, KS",20029,0.0
553,"Coahoma, MS",28027,3.0
554,"Coal, OK",40029,0.0
555,"Cobb, GA",13067,146.0
556,"Cochise, AZ",04003,1.0
557,"Cochran, TX",48079,0.0
558,"Cocke, TN",47029,0.0
559,"Coconino, AZ",04005,72.0
560,"Codington, SD",46029,0.0
561,"Coffee, AL",01031,1.0
562,"Coffee, GA",13069,13.0
563,"Coffee, TN",47031,0.0
564,"Coffey, KS",20031,8.0
565,"Coke, TX",48081,0.0
566,"Colbert, AL",01033,2.0
567,"Cole, MO",29051,1.0
568,"Coleman, TX",48083,0.0
569,"Coles, IL",17029,9.0
570,"Colfax, NE",31037,2.0
571,"Colfax, NM",35007,0.0
572,"Colleton, SC",45029,8.0
573,"Collier, FL",12021,46.0
574,"Collin, TX",48085,33.0
575,"Collingsworth, TX",48087,0.0
576,"Colorado, TX",48089,0.0
577,"Colquitt, GA",13071,14.0
578,"Columbia, AR",05027,2.0
579,"Columbia, FL",12023,2.0
580,"Columbia, GA",13073,6.0
581,"Columbia, NY",36021,32.0
582,"Columbia, OR",41009,0.0
583,"Columbia, PA",42037,31.0
584,"Columbia, WA",53013,0.0
585,"Columbia, WI",55021,1.0
586,"Columbiana, OH",39029,50.0
587,"Columbus, NC",37047,21.0
588,"Colusa, CA",06011,0.0
589,"Comal, TX",48091,6.0
590,"Comanche, KS",20033,0.0
591,"Comanche, OK",40031,3.0
592,"Comanche, TX",48093,1.0
593,"Concho, TX",48095,0.0
594,"Conecuh, AL",01035,1.0
595,"Conejos, CO",08021,0.0
596,"Contra Costa, CA",06013,37.0
597,"Converse, WY",56009,0.0
598,"Conway, AR",05029,1.0
599,"Cook, GA",13075,2.0
600,"Cook, IL",17031,3324.0
601,"Cook, MN",27031,0.0
602,"Cooke, TX",48097,0.0
603,"Cooper, MO",29053,0.0
604,"Coos, NH",33007,0.0
605,"Coos, OR",41011,0.0
606,"Coosa, AL",01037,1.0
607,"Copiah, MS",28029,4.0
608,"Corson, SD",46031,0.0
609,"Cortland, NY",36023,0.0
610,"Coryell, TX",48099,2.0
611,"Coshocton, OH",39031,0.0
612,"Costilla, CO",08023,0.0
613,"Cottle, TX",48101,1.0
614,"Cotton, OK",40033,2.0
615,"Cottonwood, MN",27033,0.0
616,"Covington, AL",01039,1.0
617,"Covington, MS",28031,1.0
618,"Coweta, GA",13077,8.0
619,"Cowley, KS",20035,1.0
620,"Cowlitz, WA",53015,0.0
621,"Craig, OK",40035,0.0
622,"Craig, VA",51045,0.0
623,"Craighead, AR",05031,0.0
624,"Crane, TX",48103,0.0
625,"Craven, NC",37049,4.0
626,"Crawford, AR",05033,0.0
627,"Crawford, GA",13079,0.0
628,"Crawford, IA",19047,2.0
629,"Crawford, IL",17033,0.0
630,"Crawford, IN",18025,0.0
631,"Crawford, KS",20037,1.0
632,"Crawford, MI",26039,5.0
633,"Crawford, MO",29055,0.0
634,"Crawford, OH",39033,3.0
635,"Crawford, PA",42039,0.0
636,"Crawford, WI",55023,0.0
637,"Creek, OK",40037,7.0
638,"Crenshaw, AL",01041,2.0
639,"Crisp, GA",13081,7.0
640,"Crittenden, AR",05035,9.0
641,"Crittenden, KY",21055,1.0
642,"Crockett, TN",47033,1.0
643,"Crockett, TX",48105,0.0
644,"Crook, OR",41013,0.0
645,"Crook, WY",56011,0.0
646,"Crosby, TX",48107,1.0
647,"Cross, AR",05037,0.0
648,"Crow Wing, MN",27035,1.0
649,"Crowley, CO",08025,1.0
650,"Culberson, TX",48109,0.0
651,"Cullman, AL",01043,0.0
652,"Culpeper, VA",51047,5.0
653,"Cumberland, IL",17035,0.0
654,"Cumberland, KY",21057,0.0
655,"Cumberland, ME",23005,40.0
656,"Cumberland, NC",37051,16.0
657,"Cumberland, NJ",34011,63.0
658,"Cumberland, PA",42041,46.0
659,"Cumberland, TN",47035,1.0
660,"Cumberland, VA",51049,0.0
661,"Cuming, NE",31039,0.0
662,"Currituck, NC",37053,0.0
663,"Curry, NM",35009,0.0
664,"Curry, OR",41015,0.0
665,"Custer, CO",08027,0.0
666,"Custer, ID",16037,0.0
667,"Custer, MT",30017,0.0
668,"Custer, NE",31041,4.0
669,"Custer, OK",40039,0.0
670,"Custer, SD",46033,0.0
671,"Cuyahoga, OH",39035,217.0
672,"Dade, GA",13083,1.0
673,"Dade, MO",29057,0.0
674,"Daggett, UT",49009,0.0
675,"Dakota, MN",27037,35.0
676,"Dakota, NE",31043,15.0
677,"Dale, AL",01045,0.0
678,"Dallam, TX",48111,1.0
679,"Dallas, AL",01047,3.0
680,"Dallas, AR",05039,0.0
681,"Dallas, IA",19049,14.0
682,"Dallas, MO",29059,0.0
683,"Dallas, TX",48113,211.0
684,"Dane, WI",55025,26.0
685,"Daniels, MT",30019,0.0
686,"Dare, NC",37055,3.0
687,"Darke, OH",39037,16.0
688,"Darlington, SC",45031,7.0
689,"Dauphin, PA",42043,63.0
690,"Davidson, NC",37057,11.0
691,"Davidson, TN",47037,58.0
692,"Davie, NC",37059,2.0
693,"Daviess, IN",18027,16.0
694,"Daviess, KY",21059,6.0
695,"Daviess, MO",29061,0.0
696,"Davis, IA",19051,0.0
697,"Davis, UT",49011,2.0
698,"Davison, SD",46035,0.0
699,"Dawes, NE",31045,0.0
700,"Dawson, GA",13085,1.0
701,"Dawson, MT",30021,0.0
702,"Dawson, NE",31047,7.0
703,"Dawson, TX",48115,1.0
704,"Day, SD",46037,0.0
705,"De Baca, NM",35011,0.0
706,"De Witt, IL",17039,0.0
707,"DeKalb, AL",01049,3.0
708,"DeKalb, GA",13089,104.0
709,"DeKalb, IL",17037,3.0
710,"DeKalb, IN",18033,1.0
711,"DeKalb, MO",29063,0.0
712,"DeKalb, TN",47041,0.0
713,"DeSoto, FL",12027,8.0
714,"DeSoto, MS",28033,6.0
715,"DeWitt, TX",48123,1.0
716,"Deaf Smith, TX",48117,13.0
717,"Dearborn, IN",18029,21.0
718,"Decatur, GA",13087,4.0
719,"Decatur, IA",19053,0.0
720,"Decatur, IN",18031,31.0
721,"Decatur, KS",20039,0.0
722,"Decatur, TN",47039,0.0
723,"Deer Lodge, MT",30023,0.0
724,"Defiance, OH",39039,2.0
725,"Del Norte, CA",06015,0.0
726,"Delaware, IA",19055,0.0
727,"Delaware, IN",18035,34.0
728,"Delaware, NY",36025,4.0
729,"Delaware, OH",39041,13.0
730,"Delaware, OK",40041,16.0
731,"Delaware, PA",42045,514.0
732,"Delta, CO",08029,1.0
733,"Delta, MI",26041,2.0
734,"Delta, TX",48119,0.0
735,"Dent, MO",29065,0.0
736,"Denton, TX",48121,30.0
737,"Des Moines, IA",19057,1.0
738,"Deschutes, OR",41017,0.0
739,"Desha, AR",05041,0.0
740,"Deuel, NE",31049,0.0
741,"Deuel, SD",46039,0.0
742,"Dewey, OK",40043,0.0
743,"Dewey, SD",46041,0.0
744,"Dickens, TX",48125,0.0
745,"Dickenson, VA",51051,0.0
746,"Dickey, ND",38021,0.0
747,"Dickinson, IA",19059,0.0
748,"Dickinson, KS",20041,0.0
749,"Dickinson, MI",26043,2.0
750,"Dickson, TN",47043,0.0
751,"Dillon, SC",45033,3.0
752,"Dimmit, TX",48127,0.0
753,"Dinwiddie, VA",51053,0.0
754,"Divide, ND",38023,0.0
755,"Dixie, FL",12029,1.0
756,"Dixon, NE",31051,0.0
757,"Doddridge, WV",54017,0.0
758,"Dodge, GA",13091,2.0
759,"Dodge, MN",27039,0.0
760,"Dodge, NE",31053,1.0
761,"Dodge, WI",55027,1.0
762,"Dolores, CO",08033,0.0
763,"Dona Ana, NM",35013,2.0
764,"Doniphan, KS",20043,0.0
765,"Donley, TX",48129,0.0
766,"Dooly, GA",13093,12.0
767,"Door, WI",55029,3.0
768,"Dorchester, MD",24019,2.0
769,"Dorchester, SC",45035,3.0
770,"Dougherty, GA",13095,140.0
771,"Douglas, CO",08035,44.0
772,"Douglas, GA",13097,22.0
